arm_id,invalid_trials,scenario_id,scenario_level_mrr,scenario_top1_rate,scenario_top2_rate,scenario_top4_rate,scenario_type,scheduled_trials,valid_positive_trials,valid_trials
deterministic_enriched,0,ow14-s0174,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0175,0.3333333333333333,0.0,0.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0176,0.25,0.0,0.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0177,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0178,0.3333333333333333,0.0,0.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0179,0.3333333333333333,0.0,0.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0180,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0181,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0182,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0183,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0184,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0185,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0186,0.3333333333333333,0.0,0.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0187,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0188,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0189,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0190,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0191,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0192,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0193,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0194,0.3333333333333333,0.0,0.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0195,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0196,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0197,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0198,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0199,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0200,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0201,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0202,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0203,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0204,0.3333333333333333,0.0,0.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0205,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0206,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0207,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0208,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0209,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0210,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0211,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0212,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0213,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0214,0.25,0.0,0.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0215,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0216,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0217,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0218,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0219,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0220,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0221,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0222,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0223,0.2,0.0,0.0,0.0,positive,1,1,1
deterministic_enriched,0,ow14-s0224,0.3333333333333333,0.0,0.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0225,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0226,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0227,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0228,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0229,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0230,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0231,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0232,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0233,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0234,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0235,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0236,1.0,1.0,1.0,1.0,positive,1,1,1
