arm_id,scenario_id,trial_number,scenario_has_vulnerability,ranking_valid,schema_invalid,provider_failed,runtime_failed,candidate_count,test_budget,top_k,tested_candidate_count,verified_finding_id,verified_finding_present,trial_start_timestamp,trial_start_source,first_verified_finding_timestamp,time_to_first_verified_finding_ms,requests_to_first_verified_finding,browser_navigations_to_first_verified_finding,candidates_tested_before_first_verification,timing_availability,cost_per_verified_finding_usd,notes
local_qwen,x13-012,2,True,True,False,False,False,8,4,4,4,,False,2026-08-08T11:37:33.038694+00:00,provider_or_action_timestamp,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_available,negative_or_no_verified_finding
local_qwen,x13-012,3,True,True,False,False,False,8,4,4,4,,False,2026-08-08T12:11:43.955301+00:00,provider_or_action_timestamp,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_available,negative_or_no_verified_finding
local_qwen,x13-012,4,True,True,False,False,False,8,4,4,4,,False,2026-08-08T12:45:52.974161+00:00,provider_or_action_timestamp,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_available,negative_or_no_verified_finding
local_qwen,x13-012,5,True,True,False,False,False,8,4,4,4,,False,2026-08-08T13:20:05.586253+00:00,provider_or_action_timestamp,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_available,negative_or_no_verified_finding
local_qwen,x13-013,1,True,True,False,False,False,5,4,4,2,finding-2e3f3c814956,True,2026-08-08T11:04:33.395062+00:00,provider_or_action_timestamp,2026-08-08T11:04:33.726889+00:00,332,4,4,2,available,not_available,derived_from_retained_timestamps
local_qwen,x13-013,2,True,True,False,False,False,5,4,4,2,finding-8dd6e7b4db6b,True,2026-08-08T11:38:47.864229+00:00,provider_or_action_timestamp,2026-08-08T11:38:48.196459+00:00,332,4,4,2,available,not_available,derived_from_retained_timestamps
local_qwen,x13-013,3,True,True,False,False,False,5,4,4,2,finding-9b0cc9b0f21b,True,2026-08-08T12:13:00.140584+00:00,provider_or_action_timestamp,2026-08-08T12:13:00.463280+00:00,323,4,4,2,available,not_available,derived_from_retained_timestamps
local_qwen,x13-013,4,True,True,False,False,False,5,4,4,2,finding-d0687c5ea8e9,True,2026-08-08T12:47:08.169513+00:00,provider_or_action_timestamp,2026-08-08T12:47:08.466127+00:00,297,4,4,2,available,not_available,derived_from_retained_timestamps
local_qwen,x13-013,5,True,True,False,False,False,5,4,4,2,finding-7dd8069f0f14,True,2026-08-08T13:21:20.737379+00:00,provider_or_action_timestamp,2026-08-08T13:21:21.031364+00:00,294,4,4,2,available,not_available,derived_from_retained_timestamps
local_qwen,x13-014,1,True,True,False,False,False,6,4,4,3,finding-033f4adcf730,True,2026-08-08T11:06:05.267646+00:00,provider_or_action_timestamp,2026-08-08T11:06:05.771275+00:00,504,6,6,3,available,not_available,derived_from_retained_timestamps
local_qwen,x13-014,2,True,True,False,False,False,6,4,4,3,finding-e419f12d712c,True,2026-08-08T11:40:19.420771+00:00,provider_or_action_timestamp,2026-08-08T11:40:19.874350+00:00,454,6,6,3,available,not_available,derived_from_retained_timestamps
local_qwen,x13-014,3,True,True,False,False,False,6,4,4,3,finding-ea4599d0951c,True,2026-08-08T12:14:31.654893+00:00,provider_or_action_timestamp,2026-08-08T12:14:32.143583+00:00,489,6,6,3,available,not_available,derived_from_retained_timestamps
local_qwen,x13-014,4,True,True,False,False,False,6,4,4,3,finding-decd18862d79,True,2026-08-08T12:48:40.805855+00:00,provider_or_action_timestamp,2026-08-08T12:48:41.293429+00:00,488,6,6,3,available,not_available,derived_from_retained_timestamps
local_qwen,x13-014,5,True,True,False,False,False,6,4,4,3,finding-8185c23abd2c,True,2026-08-08T13:22:53.210499+00:00,provider_or_action_timestamp,2026-08-08T13:22:53.662433+00:00,452,6,6,3,available,not_available,derived_from_retained_timestamps
local_qwen,x13-015,1,True,True,False,False,False,7,4,4,3,finding-85380ff892d1,True,2026-08-08T11:07:57.586252+00:00,provider_or_action_timestamp,2026-08-08T11:07:58.072296+00:00,486,6,6,3,available,not_available,derived_from_retained_timestamps
